LI-8100,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8100,,CHAMBER,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,COLLAR_HEIGHT,COMMENT,FCO2_DRY,FCO2_DRY R2,FCO2_DRY LIN,FCO2_DRY LIN_R2,TIMESTAMP_START,VOLUME,AREA,VOLUME,CO2 initial_value,CO2_DRY initial_value,ETIME initial_value
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[cm],[#],[umol+1m-2s-1],[#],[umol+1m-2s-1],[#],[YYYYMMDDHHMMSS],[cm+3],[cm+2],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[s]
2022-06-29 09:18:50,180.388080,99.380000,147890.000000,8.000000,NIST_GL1_NEE,-4.458020,0.996630,-4.458020,0.996630,20220629091850.000000,127303.000000,2571.000000,19.000000,380.990000,390.700000,0.000000
2022-06-29 09:29:30,180.395490,99.510000,147890.000000,8.000000,NIST_GL1_NEE_Att4,-4.782650,0.995150,-4.782650,0.995150,20220629092929.000000,127303.000000,2571.000000,19.000000,356.050000,367.600000,0.000000
2022-06-29 09:33:14,180.398080,99.730000,147890.000000,8.000000,NIST_GL1_NEE_Att5,-8.231460,0.996520,-8.231460,0.996520,20220629093314.000000,127303.000000,2571.000000,19.000000,385.550000,399.420000,0.000000
2022-06-29 09:37:15,180.400870,99.880000,147890.000000,8.000000,NIST_GL1_NEE_Att6,-8.166770,0.998380,-8.166770,0.998380,20220629093715.000000,127303.000000,2571.000000,19.000000,385.220000,397.350000,0.000000
2022-06-29 09:44:02,180.405580,99.920000,147890.000000,8.000000,NIST_GL1_RS,7.887310,0.999010,7.230170,0.998500,20220629094402.000000,127303.000000,2571.000000,19.000000,385.400000,397.780000,0.000000
2022-06-29 09:55:17,180.413390,99.750000,147890.000000,8.000000,NIST_GL2_NEE,-7.361150,0.998880,-7.361150,0.998880,20220629095517.000000,127303.000000,2571.000000,19.000000,388.880000,402.720000,0.000000
2022-06-29 10:00:04,180.416710,99.830000,147890.000000,8.000000,NIST_GL2_RS,6.006160,0.980080,6.006160,0.980080,20220629100004.000000,127303.000000,2571.000000,19.000000,388.060000,398.070000,0.000000
2022-06-29 10:17:47,180.429020,99.700000,149175.500000,8.500000,NIST_GL3_NEE,-10.404100,0.999370,-10.404100,0.999370,20220629101747.000000,127303.000000,2571.000000,19.000000,391.610000,401.140000,0.000000
2022-06-29 10:22:34,180.432340,99.830000,149175.500000,8.500000,NIST_GL3_RS,10.335840,0.999390,9.765960,0.999300,20220629102234.000000,127303.000000,2571.000000,19.000000,383.250000,397.320000,0.000000
